Material,Application,TML_Pct,WVR_Pct,CVCM_Pct,RML_Pct,Year,SpaceX_Classification,Data_Ref,Manufacturer,Time_1,Temp_1,ATM_1,Time_2,Temp_2,ATM_2,Time_3,Temp_3,ATM_3,Time_4,Temp_4,ATM_4,Raw_Application
AMP CONNECTOR 645850-1 BLACK GLASS FILLED POLYESTER,Connector,0.26,0,0.07,0.26,1980,Pass,GSFC10958,AMP,,,,,,,,,,,,,CONNECTOR
AMP CONNECTOR HOUSING (PET) POLYETEHYLENE TEREPHTHALATE,Connector,0.30,0,0.06,0.30,2003,Pass,GSFC28273,TYO,,,,,,,,,,,,,CONNECTOR
AMP CONNECTOR M83503/20-01 8743 BLACK,Mold Compound,0.43,0,0.05,0.43,1989,Pass,GSFC17832,AMP,,,,,,,,,,,,,MOLD CPND
AMP CONNECTOR MS25036 TERNMINAL LUG NYLON,Connector Insul,2.81,0,0.06,2.81,2000,Rationale Code A (up to 2 sq-in),GSFC27025,AMP,,,,,,,,,,,,,CONNECTOR INSUL
AMP CONNECTOR POCAN B4225 PBT GRAY,Connector,0.35,0,0.04,0.35,1997,Pass,GSFC24741,AMP,,,,,,,,,,,,,CONNECTOR
AMP CONNECTOR SHELL PROFAX PD451 BLACK POLYPROPYLENE,Mold Compound,0.34,0,0.08,0.34,1988,Pass,GSFC16916,AMP,,,,,,,,,,,,,MOLD CPND
AMP CONNECTOR SHELL PROFAX PD451 BLACK POLYPROPYLENE,Mold Compound,0.45,0,0.21,0.45,1994,Rationale Code B (up to 0.25 sq-in),GSFC21744,AMP,,,,,,,,,,,,,MOLD CPND
AMP CONNECTOR SHELL PROFAX PD451 BLACK POLYPROPYLENE,Mold Compound,0.37,0,0.17,0.37,1994,Rationale Code B (up to 0.25 sq-in),GSFC21777,AMP,20H,125.0,E-2,,,,,,,,,,MOLD CPND
AMP CONNECTOR SHELL PROFAX PD451 BLACK POLYPROPYLENE,Mold Compound,0.32,0,0.15,0.32,1994,Rationale Code B (up to 0.25 sq-in),GSFC21825,AMP,70H,125.0,E-2,,,,,,,,,,MOLD CPND
AMP CONNECTOR SHELL PROFAX PD451 BLACK POLYPROPYLENE,Mold Compound,0.12,0,0.06,0.12,1994,Pass,GSFC21921,AMP,6D,165.0,E-2,,,,,,,,,,MOLD CPND
AMP CONNECTOR VALOX 420 SEO BLUE INSERT,Connector,0.40,0,0.10,0.40,1984,Pass,GSFC14166,AMP,,,,,,,,,,,,,CONNECTOR
AMP FEED THRU TERM BLOCK 204307-6-70-39 EPOXY,Feed Thru,0.28,,0.00,0.28,1971,Pass,GSFC02645,AMP,,,,,,,,,,,,,FEED THRU
AMP FEED THRU TERM BLOCK 204307-6-70-39 SILICONE,Feed Thru,0.66,,0.06,0.66,1971,Pass,GSFC02647,AMP,,,,,,,,,,,,,FEED THRU
AMP HD-20 CONN INSUL BLACK NYLON/GLASS,Conn Insul,1.24,0,0.02,1.24,1991,Rationale Code A (up to 2 sq-in),GSFC20225,AMP,,,,,,,,,,,,,CONN INSUL
AMP HV SILICONE CABLE INSUL PEP,Insulation,1.07,,0.48,1.07,1970,Rationale Code B (up to 0.25 sq-in),GSFC02290,AMP,,,,,,,,,,,,,INSULATION
AMP HV WIRE ENTIRE CABLE WITHOUT METAL,Cable,1.39,,0.35,1.39,1969,Rationale Code B (up to 0.25 sq-in),GSFC01339,AMP,,,,,,,,,,,,,CABLE
AMP HV WIRE HA/HV-1 SILICONE INSUL MIDDLE,Cable,1.44,,0.34,1.44,1969,Rationale Code B (up to 0.25 sq-in),GSFC01336,AMP,,,,,,,,,,,,,CABLE
AMP HV WIRE SILASTIC 1410 SHRINK TUBING ONLY,Cable,1.39,,0.50,1.39,1969,Rationale Code B (up to 0.25 sq-in),GSFC01342,AMP,,,,,,,,,,,,,CABLE
AMP MOLDING COMPOUND AMBER,Mold Compound,0.51,0,0.00,0.51,1983,Pass,GSFC12877,AMP,,,,,,,,,,,,,MOLD CPND
AMP STRAIN RELIEF P/N501688-1 THERMOPLASTIC BLACK,Strain Relief,0.47,0,0.18,0.47,1987,Rationale Code B (up to 0.25 sq-in),GSFC16540,AMP,,,,,,,,,,,,,STRAIN RELIEF
AMP STRAIN RELIEF P/N501688-1 THERMOPLASTIC BLACK,Strain Relief,0.40,0,0.22,0.40,1987,Rationale Code B (up to 0.25 sq-in),GSFC16646,AMP,24H,121.0,AIR,,,,,,,,,,STRAIN RELIEF
AMPHENOL 481 CONNECTOR PHENOLIC ONLY,Connector,1.50,,0.01,1.50,1974,Rationale Code A (up to 2 sq-in),GSFC05681,ABR,,,,,,,,,,,,,CONNECTOR
AMPHENOL 481 CONNECTOR PHENOLIC/SILASTIC 35U,Connector,1.17,,0.08,1.17,1973,Rationale Code A (up to 2 sq-in),GSFC05206,ABR,,,,,,,,,,,,,CONNECTOR
AMPHENOL 481 CONNECTOR SILASTIC 35U ONLY,Connector,0.56,,0.22,0.56,1973,Rationale Code B (up to 0.25 sq-in),GSFC05274,ABR,,,,,,,,,,,,,CONNECTOR
AMPHENOL CONNECTOR 97 SERIES 10-825-750-04A ULTEM,Connector,0.52,0,0.03,0.52,2000,Pass,GSFC27160,AMP,,,,,,,,,,,,,CONNECTOR
AMPHENOL CONNECTOR 97 SERIES 99-825-730-15 ULTEM,Connector,0.73,0,0.02,0.73,2000,Pass,GSFC27166,AMP,,,,,,,,,,,,,CONNECTOR
AMPHENOL CONNECTOR 97 SERIES 99-825-750-04A ULTEM,Connector,0.65,0,0.02,0.65,2000,Pass,GSFC27163,AMP,,,,,,,,,,,,,CONNECTOR
AMPHENOL CONNECTOR MIL C38999 BLUE INSERT 418 SERIES,Conn Insul,0.35,0,0.15,0.35,1979,Rationale Code B (up to 0.25 sq-in),GSFC10422,ABR,,,,,,,,,,,,,CONN INSUL
AMPHENOL CONNECTOR MIL C38999 BLUE INSERT 418 SERIES,Conn Insul,0.48,0,0.28,0.48,1979,Rationale Code B (up to 0.25 sq-in),GSFC10425,ABR,24H,175.0,E-6,,,,,,,,,,CONN INSUL
AMPHENOL CONNECTOR MIL C38999 CLEAR SEAL 418 SERIES,Conn Insul,0.50,0,0.25,0.50,1979,Rationale Code B (up to 0.25 sq-in),GSFC10434,ABR,,,,,,,,,,,,,CONN INSUL
AMPHENOL CONNECTOR MIL C38999 CLEAR SEAL 418 SERIES,Conn Insul,0.73,0,0.47,0.73,1979,Rationale Code B (up to 0.25 sq-in),GSFC10436,ABR,24H,175.0,E-6,,,,,,,,,,CONN INSUL
AMPHENOL CONNECTOR SERIES 118 BLUE FLUOROSILICONE,Conn Insul,0.56,0,0.10,0.56,1977,Pass,GSFC08303,ABR,,,,,,,,,,,,,CONN INSUL
AMPHENOL CONNECTOR SERIES 118 TAN THERMOPLASTIC,Conn Insul,1.03,0,0.00,1.03,1977,Rationale Code A (up to 2 sq-in),GSFC08306,ABR,,,,,,,,,,,,,CONN INSUL
AMPHENOL INSIDE CONNECTOR 038999/F SERIES,Potting Compound,0.50,0,0.16,0.50,2004,Rationale Code B (up to 0.25 sq-in),GSFC28933,ABR,,,,,,,,,,,,,POTTING COMPOUND
AMPHENOL INSIDE CONNECTOR 97-4106A,Molding Compound,0.64,0,0.00,0.64,2004,Pass,GSFC28864,ABR,,,,,,,,,,,,,MOLDING COMPOUND
AMR 1036 GREEN EPOXY,Adhesive,2.36,0,0.05,2.36,1983,Rationale Code A (up to 2 sq-in),GSFC12853,AMR,7D,25.0,AIR,,,,,,,,,,ADHESIVE
AMR 1036 ORANGE EPOXY,Adhesive,2.66,0,0.06,2.66,1983,Rationale Code A (up to 2 sq-in),GSFC12856,AMR,1H,75.0,AIR,,,,,,,,,,ADHESIVE
AMS 3195B RED SILICONE SPONGE SHEET,Damper,0.24,0,0.10,0.24,1994,Pass,GSFC21897,FUJ,,,,,,,,,,,,,DAMPER
AMS 3195B RED SILICONE SPONGE SHEET,Damper,0.08,0,0.01,0.08,1994,Pass,GSFC21899,FUJ,4H,250.0,AIR,,,,,,,,,,DAMPER
AMS 3196 SILICONE SPONGE,Cushion,0.11,0,0.03,0.11,1978,Pass,GSFC09329,ZZZ,24H,182.0,AIR,,,,,,,,,,CUSHION
AMS 3345 SILICONE RUBBER,Cushion,0.11,,0.04,0.11,1973,Pass,GSFC04916,AMS,48H,121.0,E-4,,,,,,,,,,CUSHION
AN-90D MYLAR FILM,Mli,1.65,1,0.04,0.65,2015,Pass,GSFC35376,ORC,,,,,,,,,,,,,MLI
ANDREW BROWN BLACK EPOXY PAINT/PRIMER A-136,Paint,9.48,,0.21,9.48,1969,Rationale Code B (up to 0.25 sq-in),GSFC01402,ABC,5D,25.0,AIR,,,,,,,,,,PAINT
ANDREW BROWN BLACK EPOXY PAINT/PRIMER A-136,Paint,2.77,,0.16,2.77,1969,Rationale Code B (up to 0.25 sq-in),GSFC01444,ABC,5M,25.0,AIR,10M,149.0,AIR,,,,,,,PAINT
ANGEL FOAM 6818 CLEAN ROOM WIPE,Foam Wipe,1.24,0,0.10,1.24,1975,Rationale Code A (up to 2 sq-in),GSFC06509,AUC,,,,,,,,,,,,,FOAM WIPE
ANGEL FOAM 6818 CLEAN ROOM WIPE 6 HR METOH WASH,Foam Wipe,1.15,0,0.01,1.15,1975,Rationale Code A (up to 2 sq-in),GSFC06617,AUC,16H,100.0,AIR,,,,,,,,,,FOAM WIPE
ANGSTROM BOND 9112 FIBER OPTIC EPOXY,Adhesive,4.33,0,1.34,4.33,2001,Rationale Code B (up to 0.25 sq-in),GSFC27610,FOI,15M,90.0,AIR,,,,,,,,,,ADHESIVE
ANGSTROM BOND 9119 FIBER OPTIC EPOXY,Adhesive,0.64,0,0.00,0.64,2001,Pass,GSFC27607,FOI,10M,120.0,AIR,,,,,,,,,,ADHESIVE
ANGSTROM BOND 9320 A/B (LOT 3419),Epoxy,0.85,0,0.00,0.85,2003,Pass,GSFC28534,FOI,2H,80.0,AIR,,,,,,,,,,EPOXY
ANGSTROM BOND 9320 A/B (LOT 3419),Epoxy,1.13,0,0.00,1.13,2003,Rationale Code A (up to 2 sq-in),GSFC28537,FOI,30M,100.0,AIR,,,,,,,,,,EPOXY
ANGSTROM BOND 9320 A/B (LOT 3419),Epoxy,1.39,0,0.00,1.39,2003,Rationale Code A (up to 2 sq-in),GSFC28540,FOI,7D,25.0,AIR,,,,,,,,,,EPOXY
ANGSTROM BOND 950-200 FIBER RECOAT MATERIAL,Fiber Recoat Material,4.46,0,0.57,4.46,2011,Rationale Code B (up to 0.25 sq-in),GSFC32911,FOC,,,,,,,,,,,,,FIBER RECOAT MATERIAL
ANGSTROM BOND EPOTEK 353ND,Epoxy,0.76,0,0.00,0.76,2004,Pass,GSFC29110,EPK,1H,70.0,AIR,1H,90.0,AIR,,,,,,,EPOXY
ANNEALED PYROLYTIC GRAPHITE (APG) (K-CORE),Thermal Core Material,0.00,0,0.00,0.00,2011,Pass,GSFC32845,KTH,,,,,,,,,,,,,THERMAL CORE MATERIAL
ANODIZE A BLACK DYED ALUMINUM,Coating,0.67,,0.05,0.67,1969,Pass,GSFC01594,GSC,,,,,,,,,,,,,COATING
ANODIZE BLACK DYED ALUMINUM,Coating,0.75,,0.02,0.75,1969,Pass,GSFC01666,GSC,,,,,,,,,,,,,COATING
ANTENNA - OUTER SHELL,Antenna,0.79,0,0.04,0.79,2006,Pass,GSFC29965,GSC,,,,,,,,,,,,,ANTENNA
ANTI STATIC FILM 2100,Film,0.32,0,0.05,0.32,1981,Pass,GSFC11845,MMM,,,,,,,,,,,,,FILM
ANTI-GALLING LUBRICANT EXPERIMENTAL PRODUCT 27-123D,Thread Seal,11.35,0,1.11,11.35,1998,Rationale Code B (up to 0.25 sq-in),GSFC25990,NDT,,,,,,,,,,,,,THREAD SEAL
ANTI-GALLING LUBRICANT ND SC04-03,Thread Seal,5.84,0,0.69,5.84,1998,Rationale Code B (up to 0.25 sq-in),GSFC25984,NDT,,,,,,,,,,,,,THREAD SEAL
ANTI-GALLING LUBRICANT ND SC09-06,Thread Seal,4.18,1,0.15,3.18,1998,Rationale Code B (up to 0.25 sq-in),GSFC25987,NDT,,,,,,,,,,,,,THREAD SEAL
ANTI-STATIC ORANGE NYLON 6 FILM,Films and Sheet Materials,3.15,2,0.04,1.15,2018,Rationale Code A (up to 2 sq-in),GSFC36354,APK,,,,,,,,,,,,,FILMS AND SHEET MATERIALS
ANTISTATIC WHITE POLYURETHANE TUBING,Sensor Board Ring,2.44,1,0.06,1.44,2010,Rationale Code A (up to 2 sq-in),GSFC31936,MCM,,,,,,,,,,,,,SENSOR BOARD RING
AO 805 OPTICAL CEMENT BUTYL METHACRYLATE,Optical Cement,16.45,,2.55,16.45,1968,Rationale Code B (up to 0.25 sq-in),GSFC00566,AOP,,,,,,,,,,,,,OPT CEMENT
AO 805 OPTICAL CEMENT BUTYL METHACRYLATE,Optical Cement,15.04,,2.96,15.04,1968,Rationale Code B (up to 0.25 sq-in),GSFC00619,AOP,4H,71.0,AIR,,,,,,,,,,OPT CEMENT
AOS NON-SILICONE HTC 5209,Thermal Control,0.72,0,0.39,0.72,2000,Rationale Code B (up to 0.25 sq-in),GSFC27328,AOS,,,,,,,,,,,,,THERMAL CONTROL
